Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"18w"	"2W*"	"35/2"	"(8.972453779226)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.972453779"			
"19p"	"2P*"	"1/2"	"(8.975299992351)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.975299992"			
"19s"	"2S"	"1/2"	"(8.975300014858)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.975300015"			
"19x"	"2X"	"37/2"	"(8.975300588435)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.975300588"			
"20p"	"2P*"	"1/2"	"(8.977730635317)"	"0.000000000019"	" 100                    "	"L3620c107"
	term		"8.977730635"			
"20s"	"2S"	"1/2"	"(8.977730654614)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.977730655"			
"20y"	"2Y*"	"39/2"	"(8.977731147803)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.977731148"			
""	"Limit"	"---"	"(9.000229392)"	"0.000000018"	"                        "	"L3620c96"
