Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Reference
	term		"1.791516778"		
"1s.8i"	"3I"	"6"	"[1.791516858518]"	"0.000000000004"	"L8948"
"1s.8i"	"3I"	"7"	"[1.791516861333]"	"0.000000000004"	"L8948"
"1s.8i"	"3I"	"5"	"[1.791516863899]"	"0.000000000004"	"L8948"
	term		"1.791516861"		
"1s.8i"	"1I"	"6"	"[1.791516865937]"	"0.000000000004"	"L8948"
	term		"1.791516866"		
"1s.8k"	"3K*"	"7"	"[1.791516893565]"	"0.000000000004"	"L8948"
"1s.8k"	"3K*"	"8"	"[1.791516895647]"	"0.000000000004"	"L8948"
"1s.8k"	"3K*"	"6"	"[1.791516897554]"	"0.000000000004"	"L8948"
	term		"1.791516896"		
"1s.8k"	"1K*"	"7"	"[1.791516899133]"	"0.000000000004"	"L8948"
	term		"1.791516899"		
"1s.8p"	"1P*"	"1"	"[1.791563781435]"	"0.000000000010"	"L8948"
	term		"1.791563781"		
"1s.9s"	"3S"	"1"	"[1.793938425747]"	"0.000000000016"	"L8948"
	term		"1.793938426"		
"1s.9s"	"1S"	"0"	"[1.794402400518]"	"0.000000000016"	"L8948"
	term		"1.794402401"		
"1s.9p"	"3P*"	"2"	"[1.794606786169]"	"0.000000000007"	"L8948"
"1s.9p"	"3P*"	"1"	"[1.794606793020]"	"0.000000000007"	"L8948"
"1s.9p"	"3P*"	"0"	"[1.794606877204]"	"0.000000000007"	"L8948"
	term		"1.794606799"		
"1s.9d"	"3D"	"3"	"[1.794788083738]"	"0.000000000004"	"L8948"
"1s.9d"	"3D"	"2"	"[1.794788084783]"	"0.000000000004"	"L8948"
"1s.9d"	"3D"	"1"	"[1.794788099518]"	"0.000000000004"	"L8948"
	term		"1.794788087"		
"1s.9d"	"1D"	"2"	"[1.794790108788]"	"0.000000000004"	"L8948"
	term		"1.794790109"		
"1s.9f"	"3F*"	"3"	"[1.794794631099]"	"0.000000000004"	"L8948"
"1s.9f"	"3F*"	"4"	"[1.794794634858]"	"0.000000000004"	"L8948"
"1s.9f"	"3F*"	"2"	"[1.794794641745]"	"0.000000000004"	"L8948"
	term		"1.794794635"		
"1s.9f"	"1F*"	"3"	"[1.794794652701]"	"0.000000000004"	"L8948"
	term		"1.794794653"		
"1s.9g"	"3G"	"4"	"[1.794795477180]"	"0.000000000004"	"L8948"
"1s.9g"	"3G"	"5"	"[1.794795481499]"	"0.000000000004"	"L8948"
"1s.9g"	"3G"	"3"	"[1.794795485433]"	"0.000000000004"	"L8948"
	term		"1.794795481"		
"1s.9g"	"1G"	"4"	"[1.794795488094]"	"0.000000000004"	"L8948"
	term		"1.794795488"		
"1s.9h"	"3H*"	"5"	"[1.794795681473]"	"0.000000000004"	"L8948"
"1s.9h"	"3H*"	"6"	"[1.794795684293]"	"0.000000000004"	"L8948"
"1s.9h"	"3H*"	"4"	"[1.794795686852]"	"0.000000000004"	"L8948"
	term		"1.794795684"		
"1s.9h"	"1H*"	"5"	"[1.794795688761]"	"0.000000000004"	"L8948"
	term		"1.794795689"		
"1s.9i"	"3I"	"6"	"[1.794795746933]"	"0.000000000004"	"L8948"
"1s.9i"	"3I"	"7"	"[1.794795748911]"	"0.000000000004"	"L8948"
"1s.9i"	"3I"	"5"	"[1.794795750712]"	"0.000000000004"	"L8948"
	term		"1.794795749"		
"1s.9i"	"1I"	"6"	"[1.794795752144]"	"0.000000000004"	"L8948"
	term		"1.794795752"		
"1s.9k"	"3K*"	"7"	"[1.794795772374]"	"0.000000000004"	"L8948"
"1s.9k"	"3K*"	"8"	"[1.794795773836]"	"0.000000000004"	"L8948"
"1s.9k"	"3K*"	"6"	"[1.794795775176]"	"0.000000000004"	"L8948"
	term		"1.794795774"		
"1s.9k"	"1K*"	"7"	"[1.794795776285]"	"0.000000000004"	"L8948"
	term		"1.794795776"		
"1s.9p"	"1P*"	"1"	"[1.794828783560]"	"0.000000000007"	"L8948"
