Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3p6.3d7.(2H).4p"	"3G*"	"4"	""	"2.026637"	""	""	"  87             :     6  3d7.(2F).4p  3G*  "	""
"3p6.3d7.(2H).4p"	"3I*"	"5"	""	"2.027819"	""	""	"  93             :     4  3d7.(2G).4p  1H*  "	""
"3p6.3d7.(2P).4p"	"*"	"2"	""	"2.028503"	""	""	"  34  3D*        :    25  3d7.(2P).4p  1D*  "	""
"3p6.3d7.(2H).4p"	"3I*"	"7"	""	"2.029080"	""	""	" 100                                        "	""
"3p6.3d7.(2D2).4p"	"3D*"	"3"	""	"2.032126"	""	""	"  58             :    17  3d7.(2D1).4p 3D*  "	""
"3p6.3d7.(2H).4p"	"3G*"	"3"	""	"2.037803"	""	""	"  80             :     6  3d7.(2F).4p  3G*  "	""
"3p6.3d7.(2D2).4p"	"*"	"1"	""	"2.039089"	""	""	"  32  3D*        :    28  3d7.(2P).4p  1P*  "	""
"3p6.3d7.(4P).4p"	"3P*"	"0"	""	"2.039848"	""	""	"  56             :    43  3d7.(2P).4p  1S*  "	""
"3p6.3d7.(2D2).4p"	"3D*"	"2"	""	"2.041882"	""	""	"  40             :    16  3d7.(2P).4p  3D*  "	""
"3p6.3d7.(2H).4p"	"1I*"	"6"	""	"2.049978"	""	""	"  69             :    28  3d7.(2H).4p  3I*  "	""
"3p6.3d7.(2D2).4p"	"3F*"	"4"	""	"2.053877"	""	""	"  77             :    20  3d7.(2D1).4p 3F*  "	""
"3p6.3d7.(2D2).4p"	"3F*"	"3"	""	"2.058178"	""	""	"  53             :    12  3d7.(2D1).4p 3F*  "	""
"3p6.3d7.(2D2).4p"	"3F*"	"2"	""	"2.061936"	""	""	"  57             :    12  3d7.(2D1).4p 3F*  "	""
"3p6.3d7.(2P).4p"	"3S*"	"1"	""	"2.064548"	""	""	"  60             :    10  3d7.(2P).4p  1P*  "	""
"3p6.3d7.(2P).4p"	"1P*"	"1"	""	"2.070031"	""	""	"  42             :    17  3d7.(2P).4p  3S*  "	""
"3p6.3d7.(2D2).4p"	"*"	"2"	""	"2.077320"	""	""	"  34  1D*        :    23  3d7.(2D2).4p 3P*  "	""
"3p6.3d7.(2H).4p"	"3H*"	"6"	""	"2.077627"	""	""	"  97             :     1  3d7.(2H).4p  1H*  "	""
"3p6.3d7.(2H).4p"	"3H*"	"5"	""	"2.082060"	""	""	"  94             :     3  3d7.(2H).4p  1H*  "	""
"3p6.3d7.(2H).4p"	"3H*"	"4"	""	"2.087385"	""	""	"  95             :     2  3d7.(2H).4p  1G*  "	""
"3p6.3d7.(2D2).4p"	"*"	"2"	""	"2.093128"	""	""	"  36  3P*        :    20  3d7.(2D2).4p 1D*  "	""
"3p6.3d7.(2H).4p"	"1G*"	"4"	""	"2.098064"	""	""	"  67             :    31  3d7.(2G).4p  1G*  "	""
"3p6.3d7.(2D2).4p"	"1F*"	"3"	""	"2.098931"	""	""	"  57             :    17  3d7.(2G).4p  1F*  "	""
"3p6.3d7.(2D2).4p"	"3P*"	"1"	""	"2.106998"	""	""	"  53             :    12  3d7.(2D1).4p 3P*  "	""
"3p6.3d7.(2D2).4p"	"3P*"	"0"	""	"2.112547"	""	""	"  67             :    15  3d7.(2P).4p  3P*  "	""
"3p6.3d7.(2D2).4p"	"1P*"	"1"	""	"2.118166"	""	""	"  75             :    12  3d7.(2D1).4p 1P*  "	""
"3p6.3d7.(2H).4p"	"1H*"	"5"	""	"2.125973"	""	""	"  95             :     2  3d7.(2H).4p  3H*  "	""
"3p6.3d7.(2F).4p"	"1D*"	"2"	""	"2.203944"	""	""	"  59             :    31  3d7.(2F).4p  3F*  "	""
"3p6.3d7.(2F).4p"	"3G*"	"3"	""	"2.210094"	""	""	"  73             :    16  3d7.(2F).4p  3F*  "	""
"3p6.3d7.(2F).4p"	"3G*"	"4"	""	"2.214642"	""	""	"  59             :    23  3d7.(2F).4p  3F*  "	""
"3p6.3d7.(2F).4p"	"3F*"	"3"	""	"2.220988"	""	""	"  40             :    42  3d7.(2F).4p  3D*  "	""
"3p6.3d7.(2F).4p"	"3F*"	"2"	""	"2.224144"	""	""	"  63             :    29  3d7.(2F).4p  1D*  "	""
"3p6.3d7.(2F).4p"	"3D*"	"3"	""	"2.227292"	""	""	"  47             :    38  3d7.(2F).4p  3F*  "	""
"3p6.3d7.(2F).4p"	"3G*"	"5"	""	"2.229610"	""	""	"  93             :     6  3d7.(2H).4p  3G*  "	""
"3p6.3d7.(2F).4p"	"3F*"	"4"	""	"2.230354"	""	""	"  44             :    33  3d7.(2F).4p  3G*  "	""
"3p6.3d7.(2F).4p"	"3D*"	"2"	""	"2.230898"	""	""	"  83             :     8  3d7.(2F).4p  1D*  "	""
"3p6.3d7.(2F).4p"	"3D*"	"1"	""	"2.232085"	""	""	"  91             :     5  3d7.(2D1).4p 3D*  "	""
"3p6.3d7.(2F).4p"	"1G*"	"4"	""	"2.234466"	""	""	"  68             :    29  3d7.(2F).4p  3F*  "	""
"3p6.3d7.(2F).4p"	"1F*"	"3"	""	"2.283843"	""	""	"  96             :     2  3d7.(2F).4p  3D*  "	""
"3p6.3d7.(2D1).4p"	"3P*"	"2"	""	"2.425761"	""	""	"  77             :    21  3d7.(2D2).4p 3P*  "	""
"3p6.3d7.(2D1).4p"	"3P*"	"1"	""	"2.428170"	""	""	"  78             :    18  3d7.(2D2).4p 3P*  "	""
"3p6.3d7.(2D1).4p"	"3P*"	"0"	""	"2.431033"	""	""	"  81             :    18  3d7.(2D2).4p 3P*  "	""
"3p6.3d7.(2D1).4p"	"3F*"	"2"	""	"2.442250"	""	""	"  76             :    18  3d7.(2D2).4p 3F*  "	""
"3p6.3d7.(2D1).4p"	"3F*"	"3"	""	"2.450910"	""	""	"  75             :    20  3d7.(2D2).4p 3F*  "	""
"3p6.3d7.(2D1).4p"	"3F*"	"4"	""	"2.462604"	""	""	"  75             :    22  3d7.(2D2).4p 3F*  "	""
"3p6.3d7.(2D1).4p"	"1P*"	"1"	""	"2.481858"	""	""	"  80             :    12  3d7.(2D2).4p 1P*  "	""
"3p6.3d7.(2D1).4p"	"1F*"	"3"	""	"2.487246"	""	""	"  75             :    20  3d7.(2D2).4p 1F*  "	""
"3p6.3d7.(2D1).4p"	"3D*"	"1"	""	"2.512116"	""	""	"  71             :    22  3d7.(2D2).4p 3D*  "	""
"3p6.3d7.(2D1).4p"	"3D*"	"2"	""	"2.514826"	""	""	"  60             :    18  3d7.(2D2).4p 3D*  "	""
"3p6.3d7.(2D1).4p"	"1D*"	"2"	""	"2.520072"	""	""	"  56             :    20  3d7.(2D2).4p 1D*  "	""
"3p6.3d7.(2D1).4p"	"3D*"	"3"	""	"2.525200"	""	""	"  70             :    24  3d7.(2D2).4p 3D*  "	""
"3p6.3d7.(4F).4d"	"5F"	"5"	""	"2.618248"	""	""	"  90                                        "	""
"3p6.3d7.(4F).4d"	"5F"	"4"	""	"2.620707"	""	""	"  75             :    13  3d7.(4F).4d  5D   "	""
"3p6.3d7.(4F).4d"	"5F"	"3"	""	"2.629611"	""	""	"  63             :    17  3d7.(4F).4d  5F   "	""
"3p6.3d7.(4F).4d"	"5G"	"6"	""	"2.630808"	""	""	"  94                                        "	""
"3p6.3d7.(4F).4d"	"5F"	"2"	""	"2.636935"	""	""	"  80                                        "	""
"3p6.3d7.(4F).4d"	"5P"	"3"	""	"2.638389"	""	""	"  70             :    18  3d7.(4F).4d  5F   "	""
"3p6.3d7.(4F).4d"	"5G"	"5"	""	"2.638782"	""	""	"  69             :    16  3d7.(4F).4d  3G   "	""
"3p6.3d7.(4F).4d"	"5D"	"4"	""	"2.639408"	""	""	"  54             :    25  3d64s2       5D   "	""
"3p6.3d7.(4F).4d"	"5H"	"7"	""	"2.639833"	""	""	"  99                                        "	""
"3p6.3d7.(4F).4d"	"5F"	"1"	""	"2.642438"	""	""	"  93                                        "	""
"3p6.3d7.(4F).4d"	"5H"	"6"	""	"2.646733"	""	""	"  65             :    30  3d7.(4F).4d  3H   "	""
"3p6.3d7.(4F).4d"	"5G"	"4"	""	"2.647712"	""	""	"  67             :    12  3d7.(4F).4d  5F   "	""
"3p6.3d7.(4F).4d"	"5P"	"2"	""	"2.649723"	""	""	"  55             :    26  3d7.(4F).4d  5D   "	""
"3p6.3d7.4d"	""	"3"	""	"2.650740"	""	""	"  34  5D         :    25  3d7.(4F).4d  5G   "	""
"3p6.3d7.(4F).4d"	"3G"	"5"	""	"2.653129"	""	""	"  72             :    17  3d7.(4F).4d  5G   "	""
"3p6.3d7.(4F).4d"	"5G"	"3"	""	"2.654509"	""	""	"  61             :    14  3d7.(4F).4d  5F   "	""
"3p6.3d7.(4F).4d"	"5H"	"5"	""	"2.656905"	""	""	"  81                                        "	""
"3p6.3d7.(4F).4d"	"5D"	"1"	""	"2.656989"	""	""	"  51             :    27  3d64s2       5F   "	""
"3p6.3d7.(4F).4d"	"5G"	"2"	""	"2.658439"	""	""	"  87                                        "	""
"3p6.3d7.(4F).4d"	"3H"	"6"	""	"2.659670"	""	""	"  69             :    29  3d7.(4F).4d  5H   "	""
"3p6.3d7.(4F).4d"	"3D"	"3"	""	"2.660480"	""	""	"  81                                        "	""
"3p6.3d7.4d"	""	"2"	""	"2.660873"	""	""	"  35  5P         :    32  3d7.(4F).4d  5D   "	""
"3p6.3d7.(4F).4d"	"5H"	"4"	""	"2.663604"	""	""	"  46             :    29  3d7.(4F).4d  3G   "	""
"3p6.3d7.(4F).4d"	"3G"	"4"	""	"2.664909"	""	""	"  54             :    43  3d7.(4F).4d  5H   "	""
