R rho Te mu radheat radcool PdV advheat advcool
1.13358e+00 8.46179e-15 4.48814e+03 1.24944e+00 2.60719e-07 9.83407e-09 2.05022e-07 0.00000e+00 4.57505e-08
1.13452e+00 8.41663e-15 4.49106e+03 1.24925e+00 2.60350e-07 9.85555e-09 2.04517e-07 0.00000e+00 4.65040e-08
1.13546e+00 8.37221e-15 4.49410e+03 1.24905e+00 2.59971e-07 9.87908e-09 2.04017e-07 0.00000e+00 4.79451e-08
1.13641e+00 8.32843e-15 4.49726e+03 1.24886e+00 2.59584e-07 9.90437e-09 2.03521e-07 0.00000e+00 4.85693e-08
1.13735e+00 8.28461e-15 4.50041e+03 1.24866e+00 2.59197e-07 9.92969e-09 2.03023e-07 0.00000e+00 4.85036e-08
1.13830e+00 8.24075e-15 4.50357e+03 1.24847e+00 2.58810e-07 9.95502e-09 2.02523e-07 0.00000e+00 4.84378e-08
1.13925e+00 8.19686e-15 4.50673e+03 1.24828e+00 2.58422e-07 9.98038e-09 2.02022e-07 0.00000e+00 4.85587e-08
1.14019e+00 8.15293e-15 4.50990e+03 1.24808e+00 2.57998e-07 1.00040e-08 2.01521e-07 0.00000e+00 4.87753e-08
1.14114e+00 8.10896e-15 4.51309e+03 1.24788e+00 2.57555e-07 1.00267e-08 2.01019e-07 0.00000e+00 4.88050e-08
1.14209e+00 8.06495e-15 4.51628e+03 1.24768e+00 2.57113e-07 1.00495e-08 2.00516e-07 0.00000e+00 4.87385e-08
1.14304e+00 8.02091e-15 4.51947e+03 1.24747e+00 2.56669e-07 1.00723e-08 2.00010e-07 0.00000e+00 4.86719e-08
1.14399e+00 7.97683e-15 4.52267e+03 1.24727e+00 2.56226e-07 1.00951e-08 1.99522e-07 0.00000e+00 4.88570e-08
1.14494e+00 7.93373e-15 4.52590e+03 1.24707e+00 2.55773e-07 1.01173e-08 1.99038e-07 0.00000e+00 4.91299e-08
1.14590e+00 7.89094e-15 4.52914e+03 1.24686e+00 2.55317e-07 1.01394e-08 1.98553e-07 0.00000e+00 4.91520e-08
1.14685e+00 7.84812e-15 4.53238e+03 1.24666e+00 2.54861e-07 1.01615e-08 1.98073e-07 0.00000e+00 4.90864e-08
1.14780e+00 7.80526e-15 4.53563e+03 1.24645e+00 2.54404e-07 1.01837e-08 1.97613e-07 0.00000e+00 4.90224e-08
1.14876e+00 7.76237e-15 4.53888e+03 1.24625e+00 2.53947e-07 1.02058e-08 1.97151e-07 0.00000e+00 4.95177e-08
1.14971e+00 7.72223e-15 4.54223e+03 1.24604e+00 2.53541e-07 1.02320e-08 1.96691e-07 0.00000e+00 5.01424e-08
1.15067e+00 7.68271e-15 4.54561e+03 1.24584e+00 2.53148e-07 1.02591e-08 1.96231e-07 0.00000e+00 5.02068e-08
1.15163e+00 7.64315e-15 4.54899e+03 1.24563e+00 2.52754e-07 1.02863e-08 1.95770e-07 0.00000e+00 5.01404e-08
1.15259e+00 7.60357e-15 4.55238e+03 1.24543e+00 2.52359e-07 1.03135e-08 1.95307e-07 0.00000e+00 5.00739e-08
1.15354e+00 7.56395e-15 4.55576e+03 1.24522e+00 2.51965e-07 1.03407e-08 1.94843e-07 0.00000e+00 5.02245e-08
1.15450e+00 7.52500e-15 4.55917e+03 1.24502e+00 2.51542e-07 1.03708e-08 1.94378e-07 0.00000e+00 5.03773e-08
1.15546e+00 7.48603e-15 4.56258e+03 1.24481e+00 2.51118e-07 1.04011e-08 1.93913e-07 0.00000e+00 5.03128e-08
1.15643e+00 7.44703e-15 4.56600e+03 1.24460e+00 2.50694e-07 1.04313e-08 1.93445e-07 0.00000e+00 5.02456e-08
1.15739e+00 7.40800e-15 4.56942e+03 1.24439e+00 2.50270e-07 1.04616e-08 1.92976e-07 0.00000e+00 5.02627e-08
1.15835e+00 7.36890e-15 4.57285e+03 1.24418e+00 2.49838e-07 1.04910e-08 1.92507e-07 0.00000e+00 5.08547e-08
1.15931e+00 7.32954e-15 4.57635e+03 1.24396e+00 2.49355e-07 1.05147e-08 1.92039e-07 0.00000e+00 5.13613e-08
1.16028e+00 7.29015e-15 4.57986e+03 1.24374e+00 2.48872e-07 1.05383e-08 1.91570e-07 0.00000e+00 5.12926e-08
1.16124e+00 7.25073e-15 4.58337e+03 1.24352e+00 2.48388e-07 1.05620e-08 1.91117e-07 0.00000e+00 5.12251e-08
1.16221e+00 7.21127e-15 4.58689e+03 1.24331e+00 2.47904e-07 1.05857e-08 1.90664e-07 0.00000e+00 5.11828e-08
1.16318e+00 7.17233e-15 4.59041e+03 1.24309e+00 2.47427e-07 1.06096e-08 1.90210e-07 0.00000e+00 5.12249e-08
1.16414e+00 7.13520e-15 4.59395e+03 1.24287e+00 2.46978e-07 1.06342e-08 1.89764e-07 0.00000e+00 5.12422e-08
1.16511e+00 7.09805e-15 4.59749e+03 1.24265e+00 2.46528e-07 1.06589e-08 1.89336e-07 0.00000e+00 5.11765e-08
1.16608e+00 7.06087e-15 4.60104e+03 1.24243e+00 2.46077e-07 1.06835e-08 1.88906e-07 0.00000e+00 5.11107e-08
1.16705e+00 7.02365e-15 4.60459e+03 1.24221e+00 2.45626e-07 1.07082e-08 1.88476e-07 0.00000e+00 5.12022e-08
1.16802e+00 6.98709e-15 4.60817e+03 1.24200e+00 2.45184e-07 1.07340e-08 1.88044e-07 0.00000e+00 5.16264e-08
1.16899e+00 6.95193e-15 4.61180e+03 1.24178e+00 2.44761e-07 1.07622e-08 1.87614e-07 0.00000e+00 5.18922e-08
1.16997e+00 6.91674e-15 4.61544e+03 1.24156e+00 2.44337e-07 1.07904e-08 1.87182e-07 0.00000e+00 5.18247e-08
1.17094e+00 6.88152e-15 4.61909e+03 1.24134e+00 2.43913e-07 1.08186e-08 1.86749e-07 0.00000e+00 5.17571e-08
1.17191e+00 6.84628e-15 4.62273e+03 1.24112e+00 2.43489e-07 1.08468e-08 1.86314e-07 0.00000e+00 5.16202e-08
1.17289e+00 6.81122e-15 4.62636e+03 1.24090e+00 2.43051e-07 1.08732e-08 1.85877e-07 0.00000e+00 5.14030e-08
1.17386e+00 6.77638e-15 4.62997e+03 1.24067e+00 2.42599e-07 1.08976e-08 1.85439e-07 0.00000e+00 5.12552e-08
