R rho Te mu radheat radcool PdV advheat advcool
1.08965e+00 8.82228e-15 4.59918e+03 2.44086e+00 3.11451e-07 2.76187e-07 2.29207e-08 0.00000e+00 4.76594e-09
1.09056e+00 8.74345e-15 4.60131e+03 2.43823e+00 3.09842e-07 2.75532e-07 2.28698e-08 0.00000e+00 4.76072e-09
1.09146e+00 8.66456e-15 4.60344e+03 2.43560e+00 3.08233e-07 2.74878e-07 2.28190e-08 0.00000e+00 4.75535e-09
1.09237e+00 8.59185e-15 4.60541e+03 2.43377e+00 3.06720e-07 2.73613e-07 2.27683e-08 0.00000e+00 4.74984e-09
1.09328e+00 8.52814e-15 4.60716e+03 2.43311e+00 3.05347e-07 2.71466e-07 2.27177e-08 0.00000e+00 4.74420e-09
1.09419e+00 8.46438e-15 4.60891e+03 2.43244e+00 3.03973e-07 2.69316e-07 2.26672e-08 0.00000e+00 4.73840e-09
1.09510e+00 8.40056e-15 4.61066e+03 2.43178e+00 3.02598e-07 2.67164e-07 2.26169e-08 0.00000e+00 4.73246e-09
1.09601e+00 8.33520e-15 4.61250e+03 2.43076e+00 3.01192e-07 2.65288e-07 2.25666e-08 0.00000e+00 4.72634e-09
1.09692e+00 8.26301e-15 4.61474e+03 2.42813e+00 2.99649e-07 2.64670e-07 2.25165e-08 0.00000e+00 4.72007e-09
1.09784e+00 8.19076e-15 4.61698e+03 2.42550e+00 2.98106e-07 2.64051e-07 2.24665e-08 0.00000e+00 4.71364e-09
1.09875e+00 8.11845e-15 4.61921e+03 2.42286e+00 2.96561e-07 2.63432e-07 2.24165e-08 0.00000e+00 4.70705e-09
1.09966e+00 8.04674e-15 4.62144e+03 2.42038e+00 2.95011e-07 2.62670e-07 2.23667e-08 0.00000e+00 4.70032e-09
1.10058e+00 7.97850e-15 4.62355e+03 2.41869e+00 2.93441e-07 2.61154e-07 2.23170e-08 0.00000e+00 4.69344e-09
1.10150e+00 7.91020e-15 4.62567e+03 2.41700e+00 2.91870e-07 2.59638e-07 2.22675e-08 0.00000e+00 4.68641e-09
1.10241e+00 7.84217e-15 4.62777e+03 2.41531e+00 2.90306e-07 2.58130e-07 2.22180e-08 0.00000e+00 4.67923e-09
1.10333e+00 7.78217e-15 4.62953e+03 2.41363e+00 2.88960e-07 2.56878e-07 2.21686e-08 0.00000e+00 4.67190e-09
